prot	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211005yix_KRUK_DIA_60min_b1_pool.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_AG1.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_AG1_rep.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_AG2.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_AN1.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_AN2.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GG3.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GG4.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GG5.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GG7.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GG7_rep.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GN3.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GN4.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GN5.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_GN7.raw	Z:\members\yixiao\KRUK\A20211009yix_KRUK_DIA_60min_A1\A20211009yix_KRUK_DIA_60min_A1_pool.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_AG3.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_AG3_rep.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_AG4.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_AN3.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_AN4.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GG10.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GG10_rep.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GG12.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GG13.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GG9.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GN10.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GN12.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GN13.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_GN9.raw	Z:\members\yixiao\KRUK\A20211011yix_KRUK_DIA_60min_A2\A20211011yix_KRUK_DIA_60min_A2_pool.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_AG5.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_AG5_rep.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_AG6.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_AN5.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_AN6.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GG15.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GG16.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GG17.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GG18.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GG18_rep.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GN15.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GN16.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GN17.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_GN18.raw	Z:\members\yixiao\KRUK\A20211012yix_KRUK_DIA_60min_A3\A20211012yix_KRUK_DIA_60min_A3_pool.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AG7.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AG7_rep.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AG8.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AG9.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AN7.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AN8.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_AN9.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GG19.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GG20.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GG21.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GG22.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GG23.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GG24.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN19.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN20.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN21.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN22.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN22_rep.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN23.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_GN24.raw	Z:\members\yixiao\KRUK\A20211013yix_KRUK_DIA_60min_A4\A20211013yix_KRUK_DIA_60min_A4_pool.raw
_	6428870	14616500	10541100	20567900	27462600	28297900	21156700	20842200	27197300	31649300	33370900	24816700	24414500	26781800	20891500	32913000	35562100	28310200	20573400	30588100	49867400	37361200	39827000	26677400	44992400	205298000	48132100	49064900	18339600	39547900	28759400	17810500	16072400	26573900	43001900	38722400	33606100	11177300	11040200	36456900	34598200	40926800	23501700	15026400	21397800	27292200	57657600	76537400	7823600	25420600	29679000	49170800	16961300	14156000	6616270	17053800	22817500	16978500	30108300	35977800	21795600	25372300	45801900	44841500	21613600	26480900	28286100
A0A075B6H7_IGKV3-7	NA	NA	NA	NA	9928270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	580030	577981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6H9_IGLV4-69	NA	NA	NA	29276.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45852.5	314000	NA	NA	NA	NA	NA	NA	NA	220520	NA	NA	NA	NA	NA	25927.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I0_IGLV8-61	812068	2627450	2297200	NA	6331390	NA	1447640	2216760	2218560	NA	NA	3756100	5795590	2325870	NA	1874780	NA	NA	2229370	1394690	4630880	1730840	1912660	NA	NA	3985250	8412750	NA	NA	30456700	1265460	4532020	4680170	5755510	12728900	5872770	781765	4361010	4034480	1900870	2073660	NA	1342150	1665110	2849530	1917490	NA	NA	1694590	3388940	1039860	1885500	3432770	4759300	872247	6145610	NA	2194090	3887540	5252180	276234	5771080	NA	NA	2438570	2490140	1989230
A0A075B6I9_IGLV7-46	NA	NA	NA	NA	480573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	275804	NA	NA	NA	NA	297959	1487890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	862866	NA	NA	NA	NA	NA	NA	NA
A0A075B6J9_IGLV2-18	NA	NA	NA	149997	2585980	1047430	NA	137880	NA	439736	597280	2787010	873589	NA	NA	21579.8	119012	39369.6	247286	NA	NA	NA	NA	NA	NA	299099	371294	NA	347323	NA	NA	778493	864920	NA	1748400	NA	163369	1118430	1049570	234344	NA	NA	NA	184792	NA	NA	NA	NA	NA	NA	NA	NA	NA	933075	NA	380225	NA	NA	787607	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K4_IGLV3-10	NA	11721.9	NA	83066.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1219030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K5_IGLV3-9	1018910	1928820	1607140	5161650	3643720	2514490	6109680	NA	3443470	1128780	1348010	8326450	3492080	3467310	2292080	2890300	1942710	1816790	13631500	10798700	7718400	1628490	1458120	7405320	642988	2255620	4448300	8931050	1753450	1889860	2497320	1044790	730962	2937400	3397510	3914800	1838840	1884950	2621790	14271400	12487500	1472420	1826520	5881500	9012720	2398570	1410620	1228590	2174840	1603440	826682	1608990	2052120	6990530	2518570	3022510	1236860	1267260	2380800	9467110	1746920	5779000	881040	919103	2093350	1916790	2527940
A0A075B6Q5_IGHV3-64	NA	NA	NA	NA	NA	NA	625878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1187970	NA	NA	NA	NA	NA	NA	NA	3031560	NA	695795	NA	NA	2444620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	482706	NA	NA	NA	NA	NA	NA	13234800	NA	NA	298303	NA	NA	NA	NA	NA
A0A075B6S9;P0DSN7_	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	330742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSX0_IGLV5-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSY6_IGKV3D-15	NA	6405800	5357780	NA	NA	13578500	4390450	NA	NA	NA	5817370	3129260	4573080	15127100	3849780	3098660	803226	881192	NA	4098280	NA	NA	2489120	NA	2860800	NA	NA	8676120	NA	6498970	2920710	NA	NA	NA	NA	NA	5116890	18293900	8349490	NA	NA	NA	NA	NA	NA	2996720	NA	NA	NA	NA	NA	NA	2126550	9512300	2090750	6036000	NA	2768720	2670940	NA	8502280	5033600	NA	1641750	NA	3775990	2837220
A0A087WW87;P01614_	NA	NA	NA	NA	5278920	2219490	NA	NA	2518160	NA	1917220	NA	NA	1456930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2947840	NA	NA	NA	NA	NA	NA	2005670	NA	NA	NA	NA	NA	2107390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2366990	NA	NA	NA	NA	3108600	NA	NA	NA	NA	NA	NA
A0A087X1C5_CYP2D7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	578535	630358	NA	NA	NA	NA	NA	NA	NA	NA	NA	93957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3918660	NA	NA	NA	NA	NA	NA	NA	42809.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MS15_IGHV3-49	17650.2	4525280	5321820	7053120	37659600	12766300	4185410	NA	13874300	4986900	4598730	6178700	21014100	5002090	2317000	4117680	1838100	1830240	11450800	17299500	6316130	4419750	4750900	10764900	10377600	18933700	22130500	19799100	24472300	8163600	4875420	5422590	5518940	20767500	10561700	15721900	7284740	14351100	11213200	4887770	5136880	3623020	3317400	6304950	8982980	4733190	1880930	1718320	7342700	5284430	3561590	5438740	6762010	9077750	2905070	8530910	7159560	3420810	4384300	9619300	5008100	7511690	3499480	3532760	3976550	2886680	4652680
A0A0A0MT36_IGKV6D-21	114381	166617	NA	NA	745916	NA	319930	NA	NA	177640	NA	2282610	NA	NA	66959.6	38690.2	NA	NA	NA	NA	NA	114591	NA	NA	110705	1385830	878895	NA	NA	1484800	NA	NA	NA	38016.7	327397	350524	NA	1492310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	756911	525457	NA	870058	NA	NA	NA	NA	NA	354958	NA	NA	NA	NA	48459.8
A0A0A0MT89_IGKJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1111240	NA	NA	NA	NA	NA	NA	NA	NA	777772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U7_IGHV6-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1102070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V0_IGHV3-15	NA	15875.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77573.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
