"","X","b1_11","b1_12","b1_6","b1_8","b10_12","b10_13","b10_14","b11_10","b11_12","b11_13","b11_6","b11_8","b12_11","b12_12","b12_13","b12_8","b13_12","b13_13","b13_8","b14_11","b14_12","b14_8","b15_10","b15_11","b15_12","b15_9","b16_11","b16_12","b16_4","b16_6","b16_8","b17_10","b17_11","b17_6","b17_7","b17_8","b17_9","b18_11","b18_12","b18_7","b18_8","b18_9","b19_11","b19_12","b19_13","b19_6","b19_8","b2_11","b2_13","b2_14","b2_6","b2_8","b20_12","b20_8","b21_10","b21_11","b21_12","b21_7","b21_8","b22_12","b22_13","b22_14","b23_10","b23_11","b23_12","b23_8","b23_9","b3_10","b3_11","b3_12","b4_11","b4_13","b4_14","b5_11","b5_13","b5_9","b6_11","b6_12","b6_13","b6_14","b6_7","b7_10","b7_11","b7_5","b7_6","b7_7","b8_10","b8_12","b9_10","b9_11","b9_12","b9_13","b9_14","b9_8","fd","P_value","P_value_adjust"
"119","O00468_AGRN",3308810,1654880,1591050,6015470,5731650,2378820,2282630,732398,1342950,693448,1695790,3645400,1467160,1053150,1172720,4975680,933949,3698850,1530410,272677,876349,2572700,889051,952213,475320,2752100,1415170,8110390,1298860,2809410,2178710,622237,728812,449742,2120260,1357350,3266570,1473760,1508580,1577270,2646180,978885,1075400,976726,1744360,1148380,4103250,4635620,1839270,1428370,1765490,919370,1995810,2599880,697196,1300500,652973,1456920,1963630,1017090,1528010,1349650,659754,1359920,3191550,2543920,3210890,5038430,435586,1416720,1811430,3765090,731926,1967580,1551270,5127285,2820100,2127210,738552,1356070,3037740,308562,790131,2472530,1908170,6770170,1576330,307662,211775,1127340,820960,1559960,1191830,3749370,0.767688181624099,0.000651888757714963,0.00518089017942495
"257","O15230_LAMA5",1455830,950571,2702360,10500800,17677800,1574000,1162290,432197,2618350,912854,943878,4731570,694560,742281,621514,1555480,1159420,1233150,14312800,34508.5,NA,6058200,1048220,2575430,672386,3378655,1605200,6581070,7127410,1727190,3055200,863894,2049120,569962,462264,2584240,2463915,4622020,1597470,18805200,25252300,392333.5,1243540,1033850,3491270,630200,25292400,5893130,3539590,4087900,1231660,1863380,748056,1057130,2705900,574519,35224.9,5426160,5668070,1542390,308002,NA,638214,607448,869484,638596,5238185,4376100,754735,1667930,7779240,2535420,465266,1609850,2358050,1049137,332196,2554620,700465,7645490,2205350,NA,869889,1482130,2505100,21188200,1124840,616061,469155,1120040,2387950,8037420,6634020,4101470,1.45905211209975,0.0017252143621578,0.0104996023591464
"778","P00451_F8",1590540,1977770,3621950,1850430,117411,429097,1712640,NA,NA,58502,1490570,2060000,NA,314519,NA,2315310,NA,105375,NA,NA,758563,1811580,250636,1608110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69842.3,NA,352664,NA,NA,58088.4,NA,271753,421550,NA,NA,1789750,195960,NA,3045830,NA,NA,NA,676602,NA,147791,166959,NA,138928,1078360,NA,NA,NA,NA,NA,561264,4611200,1804820,NA,NA,NA,NA,NA,289385,304178.5,1456130,NA,NA,NA,600477,NA,NA,700890,NA,NA,NA,87470.3,NA,151585,1331510,NA,NA,510523,1.13809902466593,0.0821168577059179,0.180770516273006
"786","P00734_F2",3700530,8041570,2316150,7022410,5963930,3283920,6623990,6069710,7122590,1975040,1997900,17557700,5052370,1817740,7000190,1003100,735340,3033970,3278050,1626690,1227650,8941980,2513750,4808830,487012,3789040,4036550,3076310,8143660,5897010,8709120,1998400,10276400,1309970,5296330,2856100,7681210,4067820,4737140,3447890,3876560,9943355,1559910,2046730,2070340,6903040,2464750,93913200,10166900,2527390,4386880,2187570,4317300,6044200,2866630,246057,2021750,19453000,1512480,398662,1726310,560164,2540910,2498290,5028970,1801980,6744225,20232600,1279720,5735000,3773700,4165370,5127070,12948100,556626,16362700,2053140,13112200,3509720,4339770,333384,1549910,3634600,3633300,1679910,11876700,3084400,3086810,1828090,5017880,7125720,6467760,757997,20972800,1.11408470921856,0.0489776617191771,0.124208006436908
"789","P00740_F9",NA,NA,200577,8591930,NA,NA,150479,NA,NA,NA,137838,302282,NA,NA,NA,637046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665310,564282,284611,104881,NA,1046360,NA,343749,NA,321628,659203,NA,566021,895430,340183,NA,NA,NA,3353410,464771,438074,NA,NA,662671,NA,NA,4337530,NA,NA,NA,127351,1532070,NA,528649,NA,NA,494193,NA,NA,1373945,375812,NA,NA,321288,4633960,766812,4930510,NA,NA,NA,NA,NA,292995,1176630,NA,NA,252153,NA,435448,NA,NA,NA,693349,NA,NA,NA,NA,1.10050449322708,0.0099096483786168,0.0376728377783449
"790","P00742_F10",31478.6,NA,NA,3726240,NA,50686.6,25422.2,NA,1046590,NA,37893.5,1526720,NA,NA,NA,NA,NA,763455,540231,878221,NA,1110510,332963,NA,NA,NA,NA,757732,1168050,856859,51151,NA,1038220,NA,1160800,NA,NA,NA,NA,NA,NA,1030922,NA,NA,NA,55902.9,NA,8551700,1090760,418668,917577,NA,74946.3,637454,NA,NA,NA,1407690,NA,NA,NA,NA,NA,NA,NA,NA,NA,3184190,652737,1105970,NA,1208830,NA,4932810,NA,1957675,281215,940083,NA,NA,NA,NA,707479,NA,NA,1387300,NA,NA,NA,NA,606959,NA,1174150,3546920,1.41847765672454,0.0147888756236425,0.0505690381451656
"793","P00748_F12",NA,NA,1253380,5114680,64773.7,NA,632403,NA,NA,NA,NA,1055970,NA,NA,263473,NA,NA,NA,652097,NA,NA,4141930,NA,NA,NA,NA,271817,1780970,5933880,3398550,5451010,NA,NA,488627,1234810,1122080,NA,NA,NA,NA,NA,NA,NA,NA,NA,5434460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1129810,1013260,NA,NA,NA,NA,NA,NA,NA,515785,NA,NA,NA,2173460,1525370,611440,2128870,NA,185506,NA,474299,NA,49854.2,16715,NA,NA,291295,NA,3136520,NA,NA,NA,NA,NA,NA,NA,NA,1.89188431377162,0.000609937235721147,0.00495809382486881
"801","P01008_SERPINC1",2788990,7287730,7029260,8740480,3108260,8692930,7906270,4826160,5498500,1986770,2668290,10910600,2619130,1871890,4295600,3414410,2982510,12031700,11441400,5694470,5162050,22233600,9555700,3129690,3419620,19839700,8100640,6943610,24806200,26135400,16926100,2691730,4974710,8049130,9119600,3259010,5690885,2622570,2689230,5271640,7442360,8097200,2776460,4648710,1894700,23145700,6335200,22050000,7178920,3475600,4850040,7172890,6241100,6877550,2315220,1659340,3279520,18885700,7944320,2931460,4170740,4381770,2292910,3180610,4634740,1593210,9626920,9594360,1566120,7219180,5861270,14709400,6779380,10668300,1305040,9391625,2610920,8710710,2327020,3839620,4207910,2005350,1902420,8647090,4302990,15405000,3656120,2430190,5298220,19333500,5015040,2809810,1486910,30275400,1.02763463322838,0.000119933892495908,0.00160335464228525
"812","P01042_KNG1",1558370,8730620,12234000,18614000,6819200,6723410,14197700,4040220,7696430,4549160,1732150,15860300,5616330,4241230,11128600,3788540,4815010,7583880,9842400,2787770,1939020,32676200,1278170,2314250,2979130,16749350,11075000,17859800,30189300,17554800,32338900,1690770,7975420,9098400,10724000,3982560,10184250,3620050,2619440,7063290,8464730,7157915,5656630,4509220,9440450,27365300,9806410,17897500,16631000,3787870,12797800,3666340,7419820,5225220,12679300,3611160,8376700,21298900,4636860,3833950,4391020,2629270,5720350,2648850,10344000,6543410,16929500,12497700,1028620,4972300,15686600,20058400,18705000,24215800,2989820,18555100,2356960,9480970,4887150,5801140,3408520,5285120,3363880,16365600,1978780,38689700,2620390,3281010,3582310,7180270,11704700,4205180,1521670,5880530,0.909251035796102,0.000509189636599384,0.00433185037822146
"847","P02452_COL1A1",22380800,224943000,149597000,220867000,183455000,10603800,39928700,1861430,7253440,13797900,396173,32615800,9580710,34654600,25437100,10461000,64693200,7885550,729570000,539158,1785230,300412000,25264600,32874900,12253500,186241000,13190800,30133300,54309400,282407000,244802000,239317,3952360,4369970,13462800,252902000,33690585,16314500,19869200,97342700,76181600,19867150,4173420,36006900,119971000,452813000,118914000,365848000,291344000,11320600,14117700,33507300,23705300,10036900,9829860,3153110,988304,407692000,38806200,1744670,403189,304310,8759910,7943050,3840940,32489300,26826200,27036400,5110390,38886200,84258700,156117000,35072400,230522000,16031000,163303000,25342900,108611000,25591500,26911700,34500400,769780,11699200,97645900,27802400,463071000,14708700,7866870,5520520,10884600,65582500,158612000,29831600,133882000,1.96538704270146,0.000270530791157797,0.00284927734130716
